total_len,protocol,flags,ttl,src_port,dst_port,tcp_flags_2,tcp_flags_1,size,cpu,memory
3,2,2,2,2,2,3,3,1235,0.60,26.88
2,2,3,3,2,2,2,3,1288,0.60,26.69
3,2,2,2,3,2,2,3,1525,0.60,26.71
2,2,3,2,2,3,3,2,1762,0.60,26.98
2,3,2,2,3,3,2,2,17,0.50,26.33
3,2,3,3,2,2,2,2,2143,0.70,27.04
2,2,3,2,2,3,3,2,2166,0.60,27.05
2,2,2,2,2,3,3,3,2345,0.70,27.13
3,2,2,2,3,2,3,2,2360,0.60,26.82
3,2,2,3,2,3,2,2,2599,0.50,26.95
2,3,2,3,2,2,3,2,2619,0.40,27.18
2,2,3,3,3,2,2,2,2692,0.60,27.04
2,2,2,3,3,3,2,2,2746,0.60,27.19
3,2,2,3,3,2,2,2,2775,0.50,26.98
3,2,3,2,2,3,2,2,2888,0.50,26.82
2,3,2,3,2,2,3,2,3005,0.50,27.18
3,2,2,3,2,2,3,2,3030,0.50,27.37
3,3,2,2,2,2,3,2,30,0.40,26.36
2,3,2,3,3,2,2,2,315,0.50,26.26
2,3,2,2,3,3,2,2,3213,0.60,27.01
3,2,3,2,2,3,2,2,3241,0.40,27.22
2,2,3,2,3,3,2,2,330,0.40,26.38
2,2,2,2,3,2,3,3,331,0.60,26.30
2,2,2,3,2,2,3,3,3382,0.70,27.21
3,2,2,2,3,3,2,2,3401,0.50,27.08
2,3,3,2,2,3,2,2,3418,0.50,27.14
2,2,2,3,2,2,3,3,343,0.40,26.53
3,2,2,2,3,2,2,3,3452,0.50,27.25
3,2,2,2,3,3,2,2,3485,0.50,27.36
2,3,3,2,2,2,3,2,3496,0.40,27.46
3,2,3,2,3,2,2,2,3501,0.50,27.43
3,3,3,2,2,2,2,2,3754,0.50,27.54
2,3,3,2,2,2,2,3,3844,0.60,27.41
2,2,2,3,3,3,2,2,3853,0.50,27.49
2,2,3,2,3,2,3,2,3865,0.40,27.12
2,2,3,3,2,3,2,2,3906,0.50,27.24
3,2,3,2,2,3,2,2,4031,0.40,27.39
3,2,2,2,2,3,2,3,4035,0.60,27.51
2,2,3,3,2,3,2,2,420,0.40,26.39
3,2,2,2,3,3,2,2,438,0.40,26.55
3,2,2,2,3,2,2,3,449,0.70,26.43
2,2,2,2,2,3,3,3,501,0.50,26.27
3,2,3,2,2,2,2,3,507,0.40,26.47
3,2,3,2,2,2,3,2,648,0.50,26.46
3,2,2,3,2,2,2,3,790,0.50,26.58
3,2,2,2,3,2,2,3,795,0.50,26.62
2,3,3,2,2,2,3,2,830,0.50,26.51
2,3,2,3,2,2,2,3,843,0.40,26.75
3,2,3,2,2,3,2,2,888,0.40,26.55
2,2,2,2,3,2,2,3,1076,0.40,26.78
2,2,3,2,2,2,3,2,1121,0.60,26.95
2,2,2,2,2,3,2,3,1210,0.70,26.82
2,2,3,2,2,3,2,2,1231,0.50,26.48
2,2,2,2,2,2,3,3,1340,0.60,26.93
2,2,2,2,2,3,2,3,1343,0.50,26.75
2,2,3,3,2,2,2,2,1546,0.60,26.75
2,3,2,2,3,2,2,2,1759,0.70,26.80
2,3,2,2,3,2,2,2,1815,0.50,26.73
2,2,2,2,3,3,2,2,1867,0.40,26.88
2,2,3,3,2,2,2,2,2307,0.60,26.86
2,3,3,2,2,2,2,2,2379,0.40,26.94
2,2,3,2,2,2,2,3,2848,0.50,27.18
2,2,2,2,3,2,2,3,2965,0.40,26.85
2,2,2,2,2,3,2,3,3076,0.60,26.86
3,2,2,2,2,2,2,3,3134,0.60,27.09
2,2,2,2,3,3,2,2,3255,0.50,27.41
2,3,2,2,2,3,2,2,3334,0.50,27.20
2,3,2,2,2,3,2,2,337,0.50,26.50
2,2,3,2,3,2,2,2,3475,0.50,27.12
2,3,2,2,2,2,3,2,3585,0.50,27.24
2,3,3,2,2,2,2,2,3732,0.60,27.19
2,2,3,2,2,2,2,3,3828,0.60,27.50
2,2,2,2,3,2,3,2,3846,0.50,27.55
3,2,3,2,2,2,2,2,3997,0.50,27.48
2,3,2,2,3,2,2,2,4089,0.50,27.39
2,2,2,3,3,2,2,2,42,0.50,26.22
2,2,2,2,3,2,3,2,499,0.50,26.52
2,2,2,3,2,3,2,2,520,0.50,26.47
2,2,3,2,2,2,2,3,539,0.50,26.71
3,3,2,2,2,2,2,2,713,0.50,26.54
2,3,2,2,2,3,2,2,903,0.50,26.36
2,2,2,2,2,2,2,3,1063,0.60,26.82
2,2,3,2,2,2,2,2,1074,0.50,26.89
2,2,2,2,2,2,2,3,1084,0.60,26.48
2,3,2,2,2,2,2,2,1163,0.50,26.59
3,2,2,2,2,2,2,2,1252,0.60,26.69
2,2,2,3,2,2,2,2,1314,0.60,26.86
3,2,2,2,2,2,2,2,1315,0.50,26.76
2,2,2,3,2,2,2,2,1347,0.40,26.81
2,2,2,2,2,2,3,2,1471,0.50,26.99
2,2,2,2,2,2,3,2,1626,0.50,26.70
3,2,2,2,2,2,2,2,1762,0.50,27.02
2,2,2,2,2,3,2,2,1815,0.50,26.80
2,2,2,2,2,2,2,3,1992,0.60,26.75
2,2,2,2,2,2,3,2,206,0.50,26.41
2,2,2,2,2,3,2,2,2187,0.40,27.00
3,2,2,2,2,2,2,2,2223,0.60,27.21
2,3,2,2,2,2,2,2,2419,0.50,26.87
3,2,2,2,2,2,2,2,2566,0.50,27.17
2,2,2,2,2,3,2,2,2626,0.40,27.29
2,2,3,2,2,2,2,2,2691,0.50,26.95
3,2,2,2,2,2,2,2,2715,0.40,27.31
2,2,2,3,2,2,2,2,2976,0.60,26.83
2,2,3,2,2,2,2,2,2997,0.50,27.13
2,2,2,2,2,3,2,2,3083,0.30,27.20
2,2,2,2,2,3,2,2,3103,0.50,26.94
2,2,2,2,2,2,2,3,3123,0.40,27.12
2,2,2,3,2,2,2,2,341,0.50,26.60
2,2,2,2,3,2,2,2,3659,0.50,27.51
2,3,2,2,2,2,2,2,3710,0.60,27.21
2,2,2,2,2,2,3,2,3778,0.50,27.15
2,2,3,2,2,2,2,2,3943,0.50,27.31
2,2,2,2,3,2,2,2,691,0.60,26.61
2,2,2,2,2,2,2,3,694,0.50,26.62
2,2,2,2,2,2,3,2,802,0.50,26.49
2,2,2,3,2,2,2,2,894,0.60,26.32
2,2,2,2,2,2,2,2,1020,0.60,26.48
2,2,2,2,2,2,2,2,1041,0.60,26.69
2,2,2,2,2,2,2,2,1120,0.60,26.80
2,2,2,2,2,2,2,2,1227,0.50,26.64
2,2,2,2,2,2,2,2,1305,0.50,26.80
2,2,2,2,2,2,2,2,1337,0.60,26.79
2,2,2,2,2,2,2,2,1536,0.50,26.69
2,2,2,2,2,2,2,2,1546,0.50,26.64
2,2,2,2,2,2,2,2,154,0.50,26.28
2,2,2,2,2,2,2,2,1720,0.40,26.95
2,2,2,2,2,2,2,2,1859,0.50,26.85
2,2,2,2,2,2,2,2,2037,0.50,26.71
2,2,2,2,2,2,2,2,2148,0.50,26.73
2,2,2,2,2,2,2,2,2207,0.50,26.98
2,2,2,2,2,2,2,2,2305,0.70,26.87
2,2,2,2,2,2,2,2,2308,0.50,27.02
2,2,2,2,2,2,2,2,2407,0.60,26.89
2,2,2,2,2,2,2,2,2443,0.40,26.69
2,2,2,2,2,2,2,2,265,0.50,26.37
2,2,2,2,2,2,2,2,2713,0.60,26.61
2,2,2,2,2,2,2,2,2811,0.60,27.07
2,2,2,2,2,2,2,2,2957,0.40,27.05
2,2,2,2,2,2,2,2,3098,0.50,27.10
2,2,2,2,2,2,2,2,3167,0.50,27.07
2,2,2,2,2,2,2,2,3234,0.40,27.16
2,2,2,2,2,2,2,2,3292,0.60,27.25
2,2,2,2,2,2,2,2,330,0.60,26.52
2,2,2,2,2,2,2,2,3464,0.50,26.76
2,2,2,2,2,2,2,2,352,0.50,26.23
2,2,2,2,2,2,2,2,3577,0.60,26.96
2,2,2,2,2,2,2,2,3826,0.50,27.18
2,2,2,2,2,2,2,2,3864,0.50,27.29
