total_len,protocol,flags,ttl,src_port,dst_port,tcp_flags_2,tcp_flags_1,size,memory
3,2,2,2,2,2,3,3,1235,901.12
2,2,3,3,2,2,2,3,1288,706.56
3,2,2,2,3,2,2,3,1525,727.04
2,2,3,2,2,3,3,2,1762,1003.52
2,3,2,2,3,3,2,2,17,337.92
3,2,3,3,2,2,2,2,2143,1064.96
2,2,3,2,2,3,3,2,2166,1075.2
2,2,2,2,2,3,3,3,2345,1157.12
3,2,2,2,3,2,3,2,2360,839.68
3,2,2,3,2,3,2,2,2599,972.8
2,3,2,3,2,2,3,2,2619,1208.32
2,2,3,3,3,2,2,2,2692,1064.96
2,2,2,3,3,3,2,2,2746,1218.56
3,2,2,3,3,2,2,2,2775,1003.52
3,2,3,2,2,3,2,2,2888,839.68
2,3,2,3,2,2,3,2,3005,1208.32
3,2,2,3,2,2,3,2,3030,1402.88
3,3,2,2,2,2,3,2,30,368.64
2,3,2,3,3,2,2,2,315,266.24
2,3,2,2,3,3,2,2,3213,1034.24
3,2,3,2,2,3,2,2,3241,1249.28
2,2,3,2,3,3,2,2,330,389.12
2,2,2,2,3,2,3,3,331,307.2
2,2,2,3,2,2,3,3,3382,1239.04
3,2,2,2,3,3,2,2,3401,1105.92
2,3,3,2,2,3,2,2,3418,1167.36
2,2,2,3,2,2,3,3,343,542.72
3,2,2,2,3,2,2,3,3452,1280.0
3,2,2,2,3,3,2,2,3485,1392.64
2,3,3,2,2,2,3,2,3496,1495.04
3,2,3,2,3,2,2,2,3501,1464.32
3,3,3,2,2,2,2,2,3754,1576.96
2,3,3,2,2,2,2,3,3844,1443.84
2,2,2,3,3,3,2,2,3853,1525.76
2,2,3,2,3,2,3,2,3865,1146.88
2,2,3,3,2,3,2,2,3906,1269.76
3,2,3,2,2,3,2,2,4031,1423.36
3,2,2,2,2,3,2,3,4035,1546.24
2,2,3,3,2,3,2,2,420,399.36
3,2,2,2,3,3,2,2,438,563.2
3,2,2,2,3,2,2,3,449,440.32
2,2,2,2,2,3,3,3,501,276.48
3,2,3,2,2,2,2,3,507,481.28
3,2,3,2,2,2,3,2,648,471.04
3,2,2,3,2,2,2,3,790,593.92
3,2,2,2,3,2,2,3,795,634.88
2,3,3,2,2,2,3,2,830,522.24
2,3,2,3,2,2,2,3,843,768.0
3,2,3,2,2,3,2,2,888,563.2
2,2,2,2,3,2,2,3,1076,798.72
2,2,3,2,2,2,3,2,1121,972.8
2,2,2,2,2,3,2,3,1210,839.68
2,2,3,2,2,3,2,2,1231,491.52
2,2,2,2,2,2,3,3,1340,952.32
2,2,2,2,2,3,2,3,1343,768.0
2,2,3,3,2,2,2,2,1546,768.0
2,3,2,2,3,2,2,2,1759,819.2
2,3,2,2,3,2,2,2,1815,747.52
