p4_file,table_size,exact_count,wildcard_count,table_memory_estimate_bytes,
1_2_1_1_2_2_0_0_2341.p4,2341,2,6,65548,
0_2_0_0_2_2_0_0_6150.p4,6150,5,3,172200,
1_0_0_1_2_1_1_1_6424.p4,6424,2,6,179872,
0_0_0_0_1_2_0_1_1119.p4,1119,5,3,31332,
2_2_1_2_2_2_0_0_5884.p4,5884,2,6,164752,
2_0_1_2_2_1_0_0_4415.p4,4415,3,5,123620,
1_0_0_1_2_2_0_1_3524.p4,3524,3,5,98672,
2_2_1_1_0_0_1_0_3026.p4,3026,3,5,84728,
2_1_1_2_1_2_1_0_3623.p4,3623,1,7,101444,
1_1_0_0_1_2_0_1_1956.p4,1956,3,5,54768,
0_0_1_0_0_1_1_0_8068.p4,8068,5,3,225904,
1_1_0_1_0_0_0_1_4052.p4,4052,4,4,113456,
0_2_1_1_2_1_0_0_5097.p4,5097,3,5,142716,
0_1_1_2_2_2_1_0_6650.p4,6650,2,6,186200,
1_0_0_2_0_1_1_0_877.p4,877,4,4,24556,
1_1_0_0_2_2_1_0_3847.p4,3847,3,5,107716,
0_2_1_1_0_2_1_0_7274.p4,7274,3,5,203672,
1_0_1_2_2_1_1_0_1875.p4,1875,2,6,52500,
0_0_1_0_1_0_0_1_936.p4,936,5,3,26208,
0_2_0_2_2_2_1_0_4913.p4,4913,3,5,137564,
2_0_1_0_1_0_1_0_775.p4,775,4,4,21700,
1_0_1_1_1_0_0_0_7089.p4,7089,4,4,198492,
1_1_1_0_2_0_1_0_7191.p4,7191,3,5,201348,
0_0_1_2_1_2_0_1_1698.p4,1698,3,5,47544,
2_2_1_1_0_2_0_1_6795.p4,6795,2,6,190260,
1_2_0_0_2_1_0_0_4530.p4,4530,4,4,126840,
2_2_1_1_1_2_0_1_8096.p4,8096,1,7,226688,
1_0_0_1_2_2_1_1_7738.p4,7738,2,6,216664,
0_2_1_0_0_0_1_1_3273.p4,3273,4,4,91644,
2_1_0_1_0_1_0_1_3205.p4,3205,3,5,89740,
0_0_0_2_0_0_1_0_4196.p4,4196,6,2,117488,
2_1_1_1_2_0_0_1_1598.p4,1598,2,6,44744,
1_0_1_0_1_0_1_0_5676.p4,5676,4,4,158928,
2_1_0_0_2_1_0_0_1067.p4,1067,4,4,29876,
1_1_1_1_2_0_0_1_5480.p4,5480,2,6,153440,
