experiment,sample_name,group,exact_count,lpm_count,ternary_count,table_size,has_ternary,has_lpm,ternary_ratio,bpf_size,code_size,estimated_instructions,map_memory,map_count,total_memory
exp1,ebpf_E0_L0_T8_size_1024,exp1,0,0,8,1024,1,0,1,86064,8616,1077,59392,0,145456
exp1,ebpf_E0_L1_T7_size_1024,exp1,0,1,7,1024,1,1,0.875,86064,8616,1077,59392,0,145456
exp1,ebpf_E2_L0_T6_size_1024,exp1,2,0,6,1024,1,0,0.75,86064,8616,1077,59392,0,145456
exp1,ebpf_E4_L0_T4_size_1024,exp1,4,0,4,1024,1,0,0.5,86064,8616,1077,59392,0,145456
exp1,ebpf_E4_L1_T3_size_1024,exp1,4,1,3,1024,1,1,0.375,86064,8616,1077,59392,0,145456
exp1,ebpf_E6_L0_T2_size_1024,exp1,6,0,2,1024,1,0,0.25,86064,8616,1077,59392,0,145456
exp1,ebpf_E7_L0_T1_size_1024,exp1,7,0,1,1024,1,0,0.125,86064,8616,1077,59392,0,145456
exp1,ebpf_E7_L1_T0_size_1024,exp1,7,1,0,1024,0,1,0,79736,7952,994,0,0,79736
exp1,ebpf_E8_L0_T0_size_1024,exp1,8,0,0,1024,0,0,0,79432,7936,992,13312,0,92744
exp2,G1_E0_L0_T8_size_512,G1,0,0,8,512,1,0,1,86112,8616,1077,29696,2,115808
exp2,G1_E1_L0_T7_size_512,G1,1,0,7,512,1,0,0.875,86112,8616,1077,29696,2,115808
exp2,G1_E2_L0_T6_size_512,G1,2,0,6,512,1,0,0.75,86112,8616,1077,29696,2,115808
exp2,G1_E3_L0_T5_size_512,G1,3,0,5,512,1,0,0.625,86112,8616,1077,29696,2,115808
exp2,G1_E4_L0_T4_size_512,G1,4,0,4,512,1,0,0.5,86112,8616,1077,29696,2,115808
exp2,G1_E5_L0_T3_size_512,G1,5,0,3,512,1,0,0.375,86112,8616,1077,29696,2,115808
exp2,G1_E6_L0_T2_size_512,G1,6,0,2,512,1,0,0.25,86112,8616,1077,29696,2,115808
exp2,G1_E7_L0_T1_size_512,G1,7,0,1,512,1,0,0.125,86112,8616,1077,29696,2,115808
exp2,G1_E8_L0_T0_size_512,G1,8,0,0,512,0,0,0,79480,7936,992,6656,1,86136
exp2,G2_E0_L1_T7_size_512,G2,0,1,7,512,1,1,0.875,86112,8616,1077,29696,2,115808
exp2,G2_E4_L1_T3_size_512,G2,4,1,3,512,1,1,0.375,86112,8616,1077,29696,2,115808
exp2,G2_E6_L1_T1_size_512,G2,6,1,1,512,1,1,0.125,86112,8616,1077,29696,2,115808
exp2,G2_E7_L1_T0_size_512,G2,7,1,0,512,0,1,0,79800,7952,994,0,0,79800
exp2,G2_E8_L0_T0_size_512,G2,8,0,0,512,0,0,0,79480,7936,992,6656,1,86136
exp2,G3_E4_L0_T4_size_1024,G3,4,0,4,1024,1,0,0.5,86072,8616,1077,59392,2,145464
exp2,G3_E4_L0_T4_size_256,G3,4,0,4,256,1,0,0.5,86112,8616,1077,14848,2,100960
