program_name,size,max_stages,total_tcam_used,total_sram_used,tcam_percent,sram_percent,match_total_len,match_protocol,match_flags_1,match_ttl,match_src_port,match_dst_port,match_tcp_flags_2,match_tcp_flags_1,stages_tcam_details,stages_sram_details
batch2_00020_tteeeree_size_19867,19867,13,291,13,101.04,1.35,ternary,ternary,exact,exact,exact,range,exact,exact,24|24|24|24|24|24|24|24|24|24|24|24|3,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00056_rttrttte_size_19733,19733,13,291,13,101.04,1.35,range,ternary,ternary,range,ternary,ternary,ternary,exact,24|24|24|24|24|24|24|24|24|24|24|24|3,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00095_ttlerrtt_size_19756,19756,13,291,13,101.04,1.35,ternary,ternary,lpm,exact,range,range,ternary,ternary,24|24|24|24|24|24|24|24|24|24|24|24|3,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00102_rtlttrtt_size_19707,19707,13,291,13,101.04,1.35,range,ternary,lpm,ternary,ternary,range,ternary,ternary,24|24|24|24|24|24|24|24|24|24|24|24|3,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00117_rrereret_size_16243,16243,14,320,14,111.11,1.46,range,range,exact,range,exact,range,exact,ternary,24|24|24|24|24|24|24|24|24|24|24|24|24|8,1|1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00123_ererrret_size_17446,17446,15,344,15,119.44,1.56,exact,range,exact,range,range,range,exact,ternary,24|24|24|24|24|24|24|24|24|24|24|24|24|24|8,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00127_rttrrrte_size_18405,18405,15,360,15,125.0,1.56,range,ternary,ternary,range,range,range,ternary,exact,24|24|24|24|24|24|24|24|24|24|24|24|24|24|24,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00133_reereeel_size_19945,19945,13,294,13,102.08,1.35,range,exact,exact,range,exact,exact,exact,lpm,24|24|24|24|24|24|24|24|24|24|24|24|6,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00217_rrerrrtt_size_10092,10092,13,250,13,86.81,1.35,range,range,exact,range,range,range,ternary,ternary,20|20|20|20|20|20|20|20|20|20|20|20|10,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00227_rlerrttt_size_19973,19973,13,294,13,102.08,1.35,range,lpm,exact,range,range,ternary,ternary,ternary,24|24|24|24|24|24|24|24|24|24|24|24|6,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00249_reterret_size_19736,19736,13,291,13,101.04,1.35,range,exact,ternary,exact,range,range,exact,ternary,24|24|24|24|24|24|24|24|24|24|24|24|3,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00271_rrlretet_size_19740,19740,13,291,13,101.04,1.35,range,range,lpm,range,exact,ternary,exact,ternary,24|24|24|24|24|24|24|24|24|24|24|24|3,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00286_eettlret_size_19679,19679,13,291,13,101.04,1.35,exact,exact,ternary,ternary,lpm,range,exact,ternary,24|24|24|24|24|24|24|24|24|24|24|24|3,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00295_lrerrett_size_19886,19886,13,294,13,102.08,1.35,lpm,range,exact,range,range,exact,ternary,ternary,24|24|24|24|24|24|24|24|24|24|24|24|6,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00368_eettrltt_size_19835,19835,13,291,13,101.04,1.35,exact,exact,ternary,ternary,range,lpm,ternary,ternary,24|24|24|24|24|24|24|24|24|24|24|24|3,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00407_rtletett_size_19720,19720,13,291,13,101.04,1.35,range,ternary,lpm,exact,ternary,exact,ternary,ternary,24|24|24|24|24|24|24|24|24|24|24|24|3,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00428_releeeee_size_19881,19881,13,294,13,102.08,1.35,range,exact,lpm,exact,exact,exact,exact,exact,24|24|24|24|24|24|24|24|24|24|24|24|6,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00521_rrtrrret_size_15983,15983,20,395,20,137.15,2.08,range,range,ternary,range,range,range,exact,ternary,20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|15,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00558_rrtrrtel_size_15861,15861,13,312,13,108.33,1.35,range,range,ternary,range,range,ternary,exact,lpm,24|24|24|24|24|24|24|24|24|24|24|24|24,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00581_trlrrree_size_16265,16265,14,320,14,111.11,1.46,ternary,range,lpm,range,range,range,exact,exact,24|24|24|24|24|24|24|24|24|24|24|24|24|8,1|1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00651_trlrreee_size_19944,19944,13,294,13,102.08,1.35,ternary,range,lpm,range,range,exact,exact,exact,24|24|24|24|24|24|24|24|24|24|24|24|6,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00712_trtrreet_size_19883,19883,13,294,13,102.08,1.35,ternary,range,ternary,range,range,exact,exact,ternary,24|24|24|24|24|24|24|24|24|24|24|24|6,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00722_trtrrree_size_18378,18378,15,360,15,125.0,1.56,ternary,range,ternary,range,range,range,exact,exact,24|24|24|24|24|24|24|24|24|24|24|24|24|24|24,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00727_ettrreet_size_19891,19891,13,294,13,102.08,1.35,exact,ternary,ternary,range,range,exact,exact,ternary,24|24|24|24|24|24|24|24|24|24|24|24|6,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00737_rrtltett_size_19960,19960,13,294,13,102.08,1.35,range,range,ternary,lpm,ternary,exact,ternary,ternary,24|24|24|24|24|24|24|24|24|24|24|24|6,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00788_teeeerel_size_19795,19795,13,291,13,101.04,1.35,ternary,exact,exact,exact,exact,range,exact,lpm,24|24|24|24|24|24|24|24|24|24|24|24|3,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_00994_rrtlrrte_size_15689,15689,13,308,13,106.94,1.35,range,range,ternary,lpm,range,range,ternary,exact,24|24|24|24|24|24|24|24|24|24|24|24|20,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_01052_trtrrrel_size_19362,19362,16,380,16,131.94,1.67,ternary,range,ternary,range,range,range,exact,lpm,24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|20,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_01060_rrttrltt_size_19818,19818,13,291,13,101.04,1.35,range,range,ternary,ternary,range,lpm,ternary,ternary,24|24|24|24|24|24|24|24|24|24|24|24|3,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_01098_rtlrrrtt_size_18532,18532,16,364,16,126.39,1.67,range,ternary,lpm,range,range,range,ternary,ternary,24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|4,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_01102_rreeltte_size_19822,19822,13,291,13,101.04,1.35,range,range,exact,exact,lpm,ternary,ternary,exact,24|24|24|24|24|24|24|24|24|24|24|24|3,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_01180_rrertree_size_15038,15038,13,296,13,102.78,1.35,range,range,exact,range,ternary,range,exact,exact,24|24|24|24|24|24|24|24|24|24|24|24|8,1|1|1|1|1|1|1|1|1|1|1|1|1
