名称,total_len,protocol,flags[1:1],ttl,src_port,dst_port,tcp_flags[2:2],tcp_flags[1:1],Table Size,Stages (核心校验),TCAM Used (Tiles 总数),SRAM Used (Tiles 总数),TCAM % (之于 288),SRAM % (之于 960),TCAM 物理值 (Kbits),SRAM 物理值 (Kbits),TCAM 物理值 (KB),SRAM 物理值 (KB)
combo_00000_eeeeeeee_size_1500,exact,exact,exact,exact,exact,exact,exact,exact,1500,1,0,4,0.0%,0.42%,0.0,512.0,0.0,64.0
combo_00001_eeeeeeet_size_1500,exact,exact,exact,exact,exact,exact,exact,ternary,1500,1,6,1,2.08%,0.1%,135.17,128.0,16.9,16.0
combo_00002_eeeeeete_size_1500,exact,exact,exact,exact,exact,exact,ternary,exact,1500,1,6,1,2.08%,0.1%,135.17,128.0,16.9,16.0
combo_00003_eeeeeett_size_1500,exact,exact,exact,exact,exact,exact,ternary,ternary,1500,1,6,1,2.08%,0.1%,135.17,128.0,16.9,16.0
combo_00004_eeeeetee_size_1500,exact,exact,exact,exact,exact,ternary,exact,exact,1500,1,6,1,2.08%,0.1%,135.17,128.0,16.9,16.0
combo_00005_eeeeetet_size_1500,exact,exact,exact,exact,exact,ternary,exact,ternary,1500,1,6,1,2.08%,0.1%,135.17,128.0,16.9,16.0
combo_00006_eeeeette_size_1500,exact,exact,exact,exact,exact,ternary,ternary,exact,1500,1,6,1,2.08%,0.1%,135.17,128.0,16.9,16.0
combo_00007_eeeeettt_size_1500,exact,exact,exact,exact,exact,ternary,ternary,ternary,1500,1,6,1,2.08%,0.1%,135.17,128.0,16.9,16.0
combo_00008_eeeeeree_size_1500,exact,exact,exact,exact,exact,range,exact,exact,1500,1,24,1,8.33%,0.1%,540.67,128.0,67.58,16.0
combo_00009_eeeeeret_size_1500,exact,exact,exact,exact,exact,range,exact,ternary,1500,1,24,1,8.33%,0.1%,540.67,128.0,67.58,16.0
combo_00010_eeeeerte_size_1500,exact,exact,exact,exact,exact,range,ternary,exact,1500,1,24,1,8.33%,0.1%,540.67,128.0,67.58,16.0
combo_00011_eeeeertt_size_1500,exact,exact,exact,exact,exact,range,ternary,ternary,1500,1,24,1,8.33%,0.1%,540.67,128.0,67.58,16.0
combo_00012_eeeeteee_size_1500,exact,exact,exact,exact,ternary,exact,exact,exact,1500,1,6,1,2.08%,0.1%,135.17,128.0,16.9,16.0
combo_00013_eeeeteet_size_1500,exact,exact,exact,exact,ternary,exact,exact,ternary,1500,1,6,1,2.08%,0.1%,135.17,128.0,16.9,16.0
combo_00014_eeeetete_size_1500,exact,exact,exact,exact,ternary,exact,ternary,exact,1500,1,6,1,2.08%,0.1%,135.17,128.0,16.9,16.0
combo_00015_eeeetett_size_1500,exact,exact,exact,exact,ternary,exact,ternary,ternary,1500,1,6,1,2.08%,0.1%,135.17,128.0,16.9,16.0
combo_00016_eeeettee_size_1500,exact,exact,exact,exact,ternary,ternary,exact,exact,1500,1,6,1,2.08%,0.1%,135.17,128.0,16.9,16.0
combo_00017_eeeettet_size_1500,exact,exact,exact,exact,ternary,ternary,exact,ternary,1500,1,6,1,2.08%,0.1%,135.17,128.0,16.9,16.0
combo_00018_eeeettte_size_1500,exact,exact,exact,exact,ternary,ternary,ternary,exact,1500,1,6,1,2.08%,0.1%,135.17,128.0,16.9,16.0
combo_00019_eeeetttt_size_1500,exact,exact,exact,exact,ternary,ternary,ternary,ternary,1500,1,6,1,2.08%,0.1%,135.17,128.0,16.9,16.0
