名称,Table Size,Stages (核心校验),TCAM Used (Tiles 总数),SRAM Used (Tiles 总数),TCAM % (之于 288),SRAM % (之于 960),TCAM 物理值 (Kbits),SRAM 物理值 (Kbits),TCAM 物理值 (KB),SRAM 物理值 (KB)
batch2_00000_rettrrtl_size_665,665,1,12,1,4.17%,0.1%,270.34,128.0,33.79,16.0
batch2_00001_eeettlet_size_1244,1244,1,6,1,2.08%,0.1%,135.17,128.0,16.9,16.0
batch2_00002_eeerttel_size_16038,16038,4,94,4,32.64%,0.42%,2117.63,512.0,264.7,64.0
batch2_00003_rrtetelt_size_14977,14977,10,222,10,77.08%,1.04%,5001.22,1280.0,625.15,160.0
batch2_00004_eeelteee_size_16610,16610,3,66,3,22.92%,0.31%,1486.85,384.0,185.86,48.0
batch2_00005_eeetlret_size_1692,1692,2,27,2,9.38%,0.21%,608.26,256.0,76.03,32.0
batch2_00006_rleeettt_size_2345,2345,2,36,2,12.5%,0.21%,811.01,256.0,101.38,32.0
batch2_00007_tttereee_size_18580,18580,12,273,12,94.79%,1.25%,6150.14,1536.0,768.77,192.0
batch2_00008_lettteet_size_1085,1085,1,6,1,2.08%,0.1%,135.17,128.0,16.9,16.0
batch2_00009_erteretl_size_9957,9957,7,147,7,51.04%,0.73%,3311.62,896.0,413.95,112.0
batch2_00010_retetlet_size_1000,1000,1,15,1,5.21%,0.1%,337.92,128.0,42.24,16.0
batch2_00011_rtttleet_size_17537,17537,11,258,11,89.58%,1.15%,5812.22,1408.0,726.53,176.0
batch2_00012_ertreetl_size_11850,11850,5,105,5,36.46%,0.52%,2365.44,640.0,295.68,80.0
batch2_00013_eettteee_size_11758,11758,2,46,2,15.97%,0.21%,1036.29,256.0,129.54,32.0
batch2_00014_trtetltt_size_17255,17255,5,102,5,35.42%,0.52%,2297.86,640.0,287.23,80.0
batch2_00015_rteeeeee_size_4983,4983,4,75,4,26.04%,0.42%,1689.6,512.0,211.2,64.0
batch2_00016_rreeetlt_size_12027,12027,8,177,8,61.46%,0.83%,3987.46,1024.0,498.43,128.0
batch2_00017_ettrtelt_size_17018,17018,5,100,5,34.72%,0.52%,2252.8,640.0,281.6,80.0
batch2_00018_eeltrtee_size_197,197,1,3,1,1.04%,0.1%,67.58,128.0,8.45,16.0
batch2_00019_lrteeeee_size_4720,4720,2,28,2,9.72%,0.21%,630.78,256.0,78.85,32.0
batch2_00021_ereeteet_size_4277,4277,2,26,2,9.03%,0.21%,585.73,256.0,73.22,32.0
batch2_00022_tetrrttl_size_339,339,1,6,1,2.08%,0.1%,135.17,128.0,16.9,16.0
batch2_00023_rreltree_size_14671,14671,9,216,9,75.0%,0.94%,4866.05,1152.0,608.26,144.0
batch2_00024_erettrel_size_4398,4398,3,66,3,22.92%,0.31%,1486.85,384.0,185.86,48.0
batch2_00025_rtletrte_size_16936,16936,11,249,11,86.46%,1.15%,5609.47,1408.0,701.18,176.0
batch2_00026_rreterte_size_11235,11235,7,165,7,57.29%,0.73%,3717.12,896.0,464.64,112.0
batch2_00027_rteterlt_size_8712,8712,6,129,6,44.79%,0.62%,2906.11,768.0,363.26,96.0
batch2_00028_erlrteet_size_19365,19365,8,171,8,59.38%,0.83%,3852.29,1024.0,481.54,128.0
batch2_00029_telttree_size_2216,2216,2,33,2,11.46%,0.21%,743.42,256.0,92.93,32.0
batch2_00030_trlrttte_size_12516,12516,5,111,5,38.54%,0.52%,2500.61,640.0,312.58,80.0
batch2_00031_rtlrrrte_size_104,104,1,4,1,1.39%,0.1%,90.11,128.0,11.26,16.0
batch2_00032_lrteerte_size_6953,6953,5,102,5,35.42%,0.52%,2297.86,640.0,287.23,80.0
batch2_00033_rrterret_size_10786,10786,9,212,9,73.61%,0.94%,4775.94,1152.0,596.99,144.0
batch2_00034_retleeet_size_17330,17330,11,255,11,88.54%,1.15%,5744.64,1408.0,718.08,176.0
batch2_00035_trtrrett_size_1036,1036,1,18,1,6.25%,0.1%,405.5,128.0,50.69,16.0
batch2_00036_eterttle_size_19680,19680,5,116,5,40.28%,0.52%,2613.25,640.0,326.66,80.0
batch2_00037_teltrtet_size_4409,4409,3,66,3,22.92%,0.31%,1486.85,384.0,185.86,48.0
batch2_00038_trltrree_size_2387,2387,2,36,2,12.5%,0.21%,811.01,256.0,101.38,32.0
batch2_00039_lterette_size_248,248,1,2,1,0.69%,0.1%,45.06,128.0,5.63,16.0
batch2_00040_ertrreel_size_6246,6246,4,93,4,32.29%,0.42%,2095.1,512.0,261.89,64.0
batch2_00041_rtltrrte_size_12877,12877,8,189,8,65.62%,0.83%,4257.79,1024.0,532.22,128.0
batch2_00042_ettrerlt_size_3463,3463,3,51,3,17.71%,0.31%,1148.93,384.0,143.62,48.0
batch2_00043_retrrete_size_14480,14480,9,213,9,73.96%,0.94%,4798.46,1152.0,599.81,144.0
batch2_00044_tetrrrlt_size_9405,9405,6,138,6,47.92%,0.62%,3108.86,768.0,388.61,96.0
batch2_00045_rettrele_size_2075,2075,2,33,2,11.46%,0.21%,743.42,256.0,92.93,32.0
batch2_00046_ttleetet_size_4024,4024,1,16,1,5.56%,0.1%,360.45,128.0,45.06,16.0
batch2_00047_reeerelt_size_12796,12796,8,189,8,65.62%,0.83%,4257.79,1024.0,532.22,128.0
batch2_00048_leeerrtt_size_12125,12125,8,180,8,62.5%,0.83%,4055.04,1024.0,506.88,128.0
batch2_00049_lrertttt_size_10865,10865,4,96,4,33.33%,0.42%,2162.69,512.0,270.34,64.0
batch2_00050_ttttreel_size_9979,9979,7,147,7,51.04%,0.73%,3311.62,896.0,413.95,112.0
batch2_00051_rrtreelt_size_17724,17724,11,261,11,90.62%,1.15%,5879.81,1408.0,734.98,176.0
batch2_00052_lrertett_size_417,417,1,6,1,2.08%,0.1%,135.17,128.0,16.9,16.0
batch2_00053_trlreete_size_7767,7767,3,69,3,23.96%,0.31%,1554.43,384.0,194.3,48.0
batch2_00054_rrtrettt_size_9525,9525,6,141,6,48.96%,0.62%,3176.45,768.0,397.06,96.0
batch2_00055_rretette_size_17061,17061,11,252,11,87.5%,1.15%,5677.06,1408.0,709.63,176.0
batch2_00057_tetrrttt_size_9892,9892,7,147,7,51.04%,0.73%,3311.62,896.0,413.95,112.0
batch2_00058_ttetlree_size_4045,4045,3,60,3,20.83%,0.31%,1351.68,384.0,168.96,48.0
batch2_00059_rttteelt_size_18272,18272,12,270,12,93.75%,1.25%,6082.56,1536.0,760.32,192.0
batch2_00060_eelteree_size_18080,18080,12,267,12,92.71%,1.25%,6014.98,1536.0,751.87,192.0
batch2_00061_etetrtlt_size_1439,1439,1,24,1,8.33%,0.1%,540.67,128.0,67.58,16.0
batch2_00062_eterlree_size_17069,17069,11,252,11,87.5%,1.15%,5677.06,1408.0,709.63,176.0
batch2_00063_ereteelt_size_6267,6267,2,38,2,13.19%,0.21%,856.06,256.0,107.01,32.0
batch2_00064_eletttee_size_6764,6764,2,28,2,9.72%,0.21%,630.78,256.0,78.85,32.0
batch2_00065_eeelrtee_size_14410,14410,9,213,9,73.96%,0.94%,4798.46,1152.0,599.81,144.0
batch2_00066_ettttrle_size_6596,6596,5,99,5,34.38%,0.52%,2230.27,640.0,278.78,80.0
