program,source,type,size,bits,hdr.ipv4.total_len,hdr.ipv4.protocol,hdr.ipv4.flags[1:1],hdr.ipv4.ttl,meta.srcPort,meta.dstPort,meta.flag[2:2],meta.flag[1:1],tcam_used,tcam_total,tcam_percent,tcam_fraction,sram_used,sram_total,sram_percent,sram_fraction
combo_00000_eeeeeeee_size_1500,new,ranges,1500,,,,,,,,,,0,288,0.00%,0/288,4,960,0.42%,4/960
combo_00001_eeeeeeet_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00002_eeeeeete_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00003_eeeeeett_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00004_eeeeetee_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00005_eeeeetet_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00006_eeeeette_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00007_eeeeettt_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00008_eeeeeree_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00009_eeeeeret_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00010_eeeeerte_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00011_eeeeertt_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00012_eeeeteee_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00013_eeeeteet_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00014_eeeetete_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00015_eeeetett_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00016_eeeettee_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00017_eeeettet_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00018_eeeettte_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00019_eeeetttt_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00020_eeeetree_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00021_eeeetret_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00022_eeeetrte_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00023_eeeetrtt_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00024_eeeereee_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00025_eeeereet_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00026_eeeerete_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00027_eeeerett_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00028_eeeertee_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00029_eeeertet_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00030_eeeertte_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00031_eeeerttt_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00032_eeeerree_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00033_eeeerret_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00034_eeeerrte_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00035_eeeerrtt_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00036_eeeteeee_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00037_eeeteeet_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00038_eeeteete_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00039_eeeteett_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00040_eeetetee_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00041_eeetetet_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00042_eeetette_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00043_eeetettt_size_1500,new,ranges,1500,,,,,,,,,,6,288,2.08%,6/288,1,960,0.10%,1/960
combo_00044_eeeteree_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00045_eeeteret_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00046_eeeterte_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00047_eeetertt_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
