program,source,type,size,hdr.ipv4.total_len,hdr.ipv4.protocol,hdr.ipv4.flags[1:1],hdr.ipv4.ttl,meta.srcPort,meta.dstPort,meta.flag[2:2],meta.flag[1:1],tcam_used,tcam_total,tcam_percent,tcam_fraction,sram_used,sram_total,sram_percent,sram_fraction
sample_ranges_0_ternaries_0_exacts_8_size_3402,new,ranges,3402,0,0,0,0,0,0,0,0,0,288,0.00%,0/288,4,960,0.42%,4/960
sample_ranges_0_ternaries_0_exacts_8_size_3839,new,ranges,3839,0,0,0,0,0,0,0,0,0,288,0.00%,0/288,4,960,0.42%,4/960
sample_ranges_0_ternaries_0_exacts_8_size_4440,new,ranges,4440,0,0,0,0,0,0,0,0,0,288,0.00%,0/288,5,960,0.52%,5/960
sample_ranges_0_ternaries_0_exacts_8_size_5626,new,ranges,5626,0,0,0,0,0,0,0,0,0,288,0.00%,0/288,6,960,0.62%,6/960
sample_ranges_0_ternaries_0_exacts_8_size_5939,new,ranges,5939,0,0,0,0,0,0,0,0,0,288,0.00%,0/288,6,960,0.62%,6/960
sample_ranges_0_ternaries_0_exacts_8_size_6409,new,ranges,6409,0,0,0,0,0,0,0,0,0,288,0.00%,0/288,7,960,0.73%,7/960
sample_ranges_0_ternaries_0_exacts_8_size_7143,new,ranges,7143,0,0,0,0,0,0,0,0,0,288,0.00%,0/288,7,960,0.73%,7/960
sample_ranges_0_ternaries_0_exacts_8_size_7779,new,ranges,7779,0,0,0,0,0,0,0,0,0,288,0.00%,0/288,8,960,0.83%,8/960
sample_ranges_0_ternaries_0_exacts_8_size_808,new,ranges,808,0,0,0,0,0,0,0,0,0,288,0.00%,0/288,4,960,0.42%,4/960
sample_ranges_0_ternaries_1_exacts_7_size_1015,new,ranges,1015,0,0,1,0,0,0,0,0,6,288,2.08%,6/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_1_exacts_7_size_1224,new,ranges,1224,0,0,0,0,0,0,1,0,9,288,3.12%,9/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_1_exacts_7_size_1861,new,ranges,1861,0,0,0,1,0,0,0,0,12,288,4.17%,12/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_1_exacts_7_size_2379,new,ranges,2379,0,0,0,0,0,0,0,1,15,288,5.21%,15/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_1_exacts_7_size_2383,new,ranges,2383,0,0,0,0,0,0,1,0,15,288,5.21%,15/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_1_exacts_7_size_2704,new,ranges,2704,0,0,0,0,0,0,1,0,18,288,6.25%,18/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_1_exacts_7_size_3548,new,ranges,3548,1,0,0,0,0,0,0,0,21,288,7.29%,21/288,1,960,0.10%,1/960
